,accuracy,cross_entropy,iterations
276,1.0,0.03806842863559723,276
277,1.0,0.05334538221359253,277
278,1.0,0.05150776356458664,278
279,1.0,0.052640412002801895,279
280,1.0,0.059241168200969696,280
281,1.0,0.04563673585653305,281
282,1.0,0.05532948672771454,282
283,1.0,0.05386412888765335,283
284,1.0,0.05064873397350311,284
285,1.0,0.03881044685840607,285
286,1.0,0.050030313432216644,286
287,0.9921875,0.054628945887088776,287
288,1.0,0.037922464311122894,288
289,0.9921875,0.046034328639507294,289
290,1.0,0.03524294123053551,290
291,1.0,0.051063667982816696,291
292,1.0,0.03411708027124405,292
293,1.0,0.029558777809143066,293
294,1.0,0.04979698359966278,294
295,1.0,0.028114361688494682,295
296,0.9921875,0.055883146822452545,296
297,0.9921875,0.051962949335575104,297
298,1.0,0.06802669912576675,298
299,1.0,0.03578518331050873,299
300,1.0,0.040601037442684174,300
301,1.0,0.034819141030311584,301
302,0.984375,0.05182449147105217,302
303,0.9921875,0.04395432397723198,303
304,0.9921875,0.04808236286044121,304
305,1.0,0.04377809911966324,305
306,1.0,0.031331200152635574,306
307,1.0,0.023172777146100998,307
308,1.0,0.0432591438293457,308
309,1.0,0.03356476128101349,309
310,1.0,0.029004501178860664,310
311,1.0,0.03244271129369736,311
312,1.0,0.041245728731155396,312
313,0.9921875,0.05027762055397034,313
314,1.0,0.03820045292377472,314
315,1.0,0.04837479069828987,315
316,1.0,0.042051106691360474,316
317,1.0,0.039331283420324326,317
318,0.9921875,0.03955550864338875,318
319,1.0,0.038352832198143005,319
320,1.0,0.035148341208696365,320
321,0.9921875,0.03624611347913742,321
322,1.0,0.04344601556658745,322
323,1.0,0.03457989543676376,323
324,1.0,0.04219851270318031,324
325,1.0,0.0234990194439888,325
326,0.9921875,0.04319782182574272,326
327,1.0,0.027321886271238327,327
328,1.0,0.03889904543757439,328
329,1.0,0.032274242490530014,329
330,1.0,0.02799738012254238,330
331,1.0,0.03470794856548309,331
332,0.9921875,0.047216176986694336,332
333,0.9921875,0.03906170278787613,333
334,1.0,0.028961382806301117,334
335,1.0,0.02769046276807785,335
336,1.0,0.023638427257537842,336
337,1.0,0.02851543202996254,337
338,0.9921875,0.02221766859292984,338
339,1.0,0.04080546647310257,339
340,1.0,0.03250474855303764,340
341,1.0,0.02527608722448349,341
342,1.0,0.024688847362995148,342
343,1.0,0.019555719569325447,343
344,1.0,0.020356573164463043,344
345,1.0,0.028862889856100082,345
346,0.9921875,0.03337738290429115,346
347,1.0,0.018335286527872086,347
348,1.0,0.018147561699151993,348
349,1.0,0.029397960752248764,349
350,1.0,0.019662275910377502,350
351,1.0,0.02283470518887043,351
352,1.0,0.020086774602532387,352
353,1.0,0.024499401450157166,353
354,1.0,0.018933702260255814,354
355,1.0,0.021092206239700317,355
356,1.0,0.022696478292346,356
357,1.0,0.018848957493901253,357
358,1.0,0.024717487394809723,358
359,1.0,0.02087612822651863,359
360,1.0,0.03467259183526039,360
361,1.0,0.029041346162557602,361
362,1.0,0.01771770603954792,362
363,1.0,0.022394273430109024,363
364,1.0,0.026053696870803833,364
